:START_ID;:END_ID;corresponding_author:boolean;:TYPE
Tudor Brown;71170;True;WRITTEN_BY
Walden C. Rhines;71170;True;WRITTEN_BY
Marwan A. Jabri;71171;True;WRITTEN_BY
Hugo De Man;71172;True;WRITTEN_BY
Jan M. Rabaey;71172;True;WRITTEN_BY
Luc J. M. Claesen;71172;True;WRITTEN_BY
Paul Six;71172;True;WRITTEN_BY
Cyrus Bamji;71173;True;WRITTEN_BY
Hakan Yalcin;71173;True;WRITTEN_BY
Karem A. Sakallah;71173;True;WRITTEN_BY
Mohammad Mortazavi;71173;True;WRITTEN_BY
Robert Palermo;71173;True;WRITTEN_BY
Stephen Y. H. Su;71175;True;WRITTEN_BY
Yinghua Min;71175;True;WRITTEN_BY
Kuang-Wei Chiang;71176;True;WRITTEN_BY
Luca Macchiarulo;71177;True;WRITTEN_BY
Mario R. Casu;71177;True;WRITTEN_BY
Jaydeep P. Kulkarni;71178;True;WRITTEN_BY
Kaushik Roy 0001;71178;True;WRITTEN_BY
Sumeet Kumar Gupta;71178;True;WRITTEN_BY
Jaskirat Singh;71179;True;WRITTEN_BY
Sachin S. Sapatnekar;71179;True;WRITTEN_BY
Vidyasagar Nookala;71179;True;WRITTEN_BY
Zhi-Quan Luo;71179;True;WRITTEN_BY
Malgorzata Marek-Sadowska;71180;True;WRITTEN_BY
Xiang Qiu;71180;True;WRITTEN_BY
Angeliki Kritikakou;71181;True;WRITTEN_BY
Fernando Fernandes dos Santos;71181;True;WRITTEN_BY
Lucas Roquet;71181;True;WRITTEN_BY
Marcello Traiola;71181;True;WRITTEN_BY
Olivier Sentieys;71181;True;WRITTEN_BY
Paolo Rech;71181;True;WRITTEN_BY
Akira Tsukizoe;71182;True;WRITTEN_BY
Jun'ya Sakemi;71182;True;WRITTEN_BY
Makoto Kutsuwada;71182;True;WRITTEN_BY
Takashi Satoh;71182;True;WRITTEN_BY
Yoichi Shiraishi;71182;True;WRITTEN_BY
Fangxin Liu;71183;True;WRITTEN_BY
Li Jiang 0002;71183;True;WRITTEN_BY
Tao Yang 0031;71183;True;WRITTEN_BY
Wenbo Zhao 0005;71183;True;WRITTEN_BY
Xiaokang Yang 0001;71183;True;WRITTEN_BY
Yongbiao Chen;71183;True;WRITTEN_BY
Zhezhi He;71183;True;WRITTEN_BY
Zongwu Wang;71183;True;WRITTEN_BY
George M. Koppelman;71184;True;WRITTEN_BY
Klim Maling;71184;True;WRITTEN_BY
Giyeol Kim;71185;True;WRITTEN_BY
Hayoon Yi;71185;True;WRITTEN_BY
Sunwoo Ahn;71185;True;WRITTEN_BY
Whoi Ree Ha;71185;True;WRITTEN_BY
Younghan Lee;71185;True;WRITTEN_BY
Yunheung Paek;71185;True;WRITTEN_BY
Graig Godwin;71186;True;WRITTEN_BY
Kaijian Shi;71186;True;WRITTEN_BY
Chanwoo Park;71187;True;WRITTEN_BY
Hyunbo Cho;71187;True;WRITTEN_BY
Junghwan Park;71187;True;WRITTEN_BY
Premkumar Vincent;71187;True;WRITTEN_BY
Arvind M. Patel;71188;True;WRITTEN_BY
D. Hatton;71188;True;WRITTEN_BY
J. Sessa;71188;True;WRITTEN_BY
K. H. Khokhani;71188;True;WRITTEN_BY
W. Ferguson;71188;True;WRITTEN_BY
Bei Yu 0001;71189;True;WRITTEN_BY
Fangzhou Liu;71189;True;WRITTEN_BY
Kai-Yuan Chao;71189;True;WRITTEN_BY
Yibo Lin;71189;True;WRITTEN_BY
Yu Zhang 0189;71189;True;WRITTEN_BY
Yuan Pu 0001;71189;True;WRITTEN_BY
Zhuolun He;71189;True;WRITTEN_BY
Bonan Zhang;71190;True;WRITTEN_BY
Naveen Verma;71190;True;WRITTEN_BY
Peter Deaville;71190;True;WRITTEN_BY
Prabhakar Kudva;71191;True;WRITTEN_BY
Victor N. Kravets;71191;True;WRITTEN_BY
Insu Choi;71192;True;WRITTEN_BY
Joon-Sung Yang;71192;True;WRITTEN_BY
Suyong Lee;71192;True;WRITTEN_BY
Hsuan Hsiao;71193;True;WRITTEN_BY
Jason Helge Anderson;71193;True;WRITTEN_BY
Irith Pomeranz;71194;True;WRITTEN_BY
Sudhakar M. Reddy;71194;True;WRITTEN_BY
Randal E. Bryant;71195;True;WRITTEN_BY
Sanjit A. Seshia;71195;True;WRITTEN_BY
Shuvendu K. Lahiri;71195;True;WRITTEN_BY
Alberto L. Sangiovanni-Vincentelli;71196;True;WRITTEN_BY
Amit Mehrotra;71196;True;WRITTEN_BY
Ralph H. J. M. Otten;71196;True;WRITTEN_BY
Robert K. Brayton;71196;True;WRITTEN_BY
Sunil P. Khatri;71196;True;WRITTEN_BY
Arthur Oratorio;71197;True;WRITTEN_BY
Michael Gordon;71197;True;WRITTEN_BY
Alfred Kölbl;71198;True;WRITTEN_BY
Bernd Wurth;71198;True;WRITTEN_BY
Bernhard Rohfleisch;71198;True;WRITTEN_BY
Manfred A. Ward;71199;True;WRITTEN_BY
Chengmo Yang;71200;True;WRITTEN_BY
Qi Liu 0017;71200;True;WRITTEN_BY
Tao Liu 0023;71200;True;WRITTEN_BY
Wujie Wen;71200;True;WRITTEN_BY
Zihao Liu;71200;True;WRITTEN_BY
Arun Balakrishnan;71201;True;WRITTEN_BY
Srimat T. Chakradhar;71201;True;WRITTEN_BY
Vishwani D. Agrawal;71201;True;WRITTEN_BY
Gaetano Borriello;71202;True;WRITTEN_BY
Jiwen Liu;71202;True;WRITTEN_BY
Taokuan Hu;71202;True;WRITTEN_BY
Tod Amon;71202;True;WRITTEN_BY
D. P. Bossie;71203;True;WRITTEN_BY
E. F. Chelotti;71203;True;WRITTEN_BY
Andreas Olofsson;71204;True;WRITTEN_BY
Noah Moroze;71204;True;WRITTEN_BY
William Ransohoff;71204;True;WRITTEN_BY
Jackson Woodruff;71205;True;WRITTEN_BY
Michael F. P. O'Boyle;71205;True;WRITTEN_BY
Derek Chiou;71206;True;WRITTEN_BY
Johnathan York;71206;True;WRITTEN_BY
Edward F. Smith;71207;True;WRITTEN_BY
Burhan Ahmad Mudassar;71208;True;WRITTEN_BY
Jong Hwan Ko;71208;True;WRITTEN_BY
Saibal Mukhopadhyay;71208;True;WRITTEN_BY
Taesik Na;71208;True;WRITTEN_BY
D. Lacy;71209;True;WRITTEN_BY
Ernst G. Ulrich;71209;True;WRITTEN_BY
J. Tellier;71209;True;WRITTEN_BY
M. Kearney;71209;True;WRITTEN_BY
N. Phillips;71209;True;WRITTEN_BY
R. Beaven;71209;True;WRITTEN_BY
T. Elkind;71209;True;WRITTEN_BY
Gaetano Borriello;71210;True;WRITTEN_BY
Pai H. Chou;71210;True;WRITTEN_BY
Yao-Wen Chang;71211;True;WRITTEN_BY
Yu-Tsang Chang;71211;True;WRITTEN_BY
Chao-Chi Lan;71212;True;WRITTEN_BY
Cheng-Yu Chiang;71212;True;WRITTEN_BY
Hung-Ming Chen;71212;True;WRITTEN_BY
Yan-Jen Chen;71212;True;WRITTEN_BY
Yang Hsu;71212;True;WRITTEN_BY
Yao-Wen Chang;71212;True;WRITTEN_BY
Zong-Ying Cai;71212;True;WRITTEN_BY
Herman Daae;71213;True;WRITTEN_BY
Cong Jiang;71214;True;WRITTEN_BY
Dan Feng;71214;True;WRITTEN_BY
Haoyu Yang;71214;True;WRITTEN_BY
Kang Liu;71214;True;WRITTEN_BY
Yujia Wang;71214;True;WRITTEN_BY
Chentao Wu;71215;True;WRITTEN_BY
Guan Shen;71215;True;WRITTEN_BY
Jieru Zhao;71215;True;WRITTEN_BY
Minyi Guo;71215;True;WRITTEN_BY
Quan Chen 0002;71215;True;WRITTEN_BY
Wenchao Ding 0001;71215;True;WRITTEN_BY
Zeke Wang;71215;True;WRITTEN_BY
Zhe Lin 0007;71215;True;WRITTEN_BY
Thomas J. Schaefer;71216;True;WRITTEN_BY
Chris J. Myers;71217;True;WRITTEN_BY
Honghuang Lin;71217;True;WRITTEN_BY
